accelerometer_X,accelerometer_Y,accelerometer_Z,activity
1.455675,-7.479486,-3.864241,stairs
1.613692,-9.150639,-4.151545,stairs
1.216255,-9.792285,0.636858,stairs
-2.54743,-7.086836999999999,-2.585738,stairs
-1.206678,-9.433155,-2.202665,stairs
-3.102885,-4.644751,-2.456451,stairs
0.282516,-9.251195,-0.933739,stairs
-3.20823,-4.711789,0.885855,stairs
2.418144,-8.571242,-1.675941,stairs
-5.861006,-6.397307,-3.375824,stairs
2.959233,-6.081272,-3.136404,stairs
-7.805097,-8.365341,-2.130839,stairs
-0.842759,-6.119579,-1.61848,stairs
-1.814805,-7.259219,-1.043872,stairs
3.529053,-7.436389999999999,1.905785,stairs
0.986411,-17.3005,-0.3830719999999999,stairs
-4.582502,-7.862558,9.792285,stairs
1.910573,-5.985504,-1.599327,stairs
4.458004,-6.914453999999999,-5.401319,stairs
2.475605,-8.705316999999999,-0.3734949999999999,stairs
-1.120486,-5.803545,2.044648,stairs
-2.39899,-8.451532,4.055778,stairs
5.64074,-8.566454,1.029507,stairs
-0.8283940000000001,-0.483629,10.582372,stairs
4.491523,-7.393294999999999,-1.58975,stairs
4.97994,-10.127473,-14.422671,stairs
1.106121,-7.115567,2.240973,stairs
1.355118,-8.667010000000001,1.479617,stairs
2.149993,-7.474697,5.93762,stairs
8.288725999999999,-10.783484,-3.165135,stairs
-0.991199,-19.416977,4.074930999999999,stairs
7.062895,-8.063671000000001,-0.972046,stairs
0.766145,-4.788403,-0.981623,stairs
0.02873,-6.545747,-0.6464340000000001,stairs
6.952762,-11.247959,0.344765,stairs
6.895301,-13.982138,-2.504335,stairs
-1.417367,-19.349937,0.177171,stairs
0.320823,-3.715801,-9.653421,stairs
-4.649539,-15.05474,1.192313,stairs
4.242526,-16.539145,-10.836157,stairs
6.789956,-6.947972999999999,-3.007117,stairs
0.933739,-4.606444000000001,-0.512359,stairs
3.2896330000000003,-7.469908999999999,-0.0430959999999999,stairs
-1.6519990000000002,-17.535133,-2.2505490000000004,stairs
